Student{id=9093, firstName=mqyhlGIkqPZpmedambqbTdApmMIuKv, lastName=AXFNZuqekdsXbTsTbSsizPMAoDjbZy, birthday=1999-11-06, GPA=7.4}
Student{id=767, firstName=pLYHFdLYWYfwhSSefnXaBcGrSYlDrq, lastName=AivezTaNgOjgQzaoqUDmnXdKSOTaAF, birthday=2001-02-08, GPA=0.1}
Student{id=3793, firstName=bDgBezefYeiPJKVivzvkHSTdEDrjFE, lastName=CvDwtGkQJVvRSFoZaVBkyNyLOvqEZj, birthday=1999-12-06, GPA=2.4}
Student{id=8329, firstName=TJnOeCWgBOANQqSwrGFAtavgNPdpmW, lastName=CvkABbXvXfqTkpZyYOzSPOrlyvvouL, birthday=2000-09-10, GPA=6.5}
Student{id=5626, firstName=nGlovQhmkdkfXnwHruunwNbPnjMckD, lastName=CvkcNVKGtuGyvHYwNwLUdbiqpYVvUK, birthday=1999-04-12, GPA=1.4}
Student{id=5545, firstName=wYWIQGXiXnnOqWbCHErVTXvtzSIYkG, lastName=DSONzQuXPXzVlKnKSujwDOsvREOHLo, birthday=2002-08-01, GPA=3.9}
Student{id=7839, firstName=ZfSmeyMbQwiLYXTtEQWdsKzaUeYTWW, lastName=ENCdGntZeVkUIlyJMnJZHVLKoYkbBP, birthday=2001-02-27, GPA=2.7}
Student{id=79, firstName=rVphBTnhdhvMHocNFXRPOvhDqYyNPJ, lastName=ENiiKiIFITtYkKiOivHJalwrRcNasf, birthday=2000-02-20, GPA=7.3}
Student{id=7933, firstName=ZCbjkzbYwWZDMlcSAlvLZeyAyiFPVR, lastName=ETgOzFfdCsyABcUJfqIjtbpJoKRMKc, birthday=1999-03-04, GPA=3.4}
Student{id=470, firstName=BQKeXQvYcfNFYWarrveOPpBPCNOUdP, lastName=FMbTFmdPXfWuRCivWpMRDivBTbVYQi, birthday=2000-09-20, GPA=7.8}
Student{id=9093, firstName=mqyhlGIkqPZpmedambqbTdApmMIuKv, lastName=AXFNZuqekdsXbTsTbSsizPMAoDjbZy, birthday=1999-11-06, GPA=7.4}
Student{id=767, firstName=pLYHFdLYWYfwhSSefnXaBcGrSYlDrq, lastName=AivezTaNgOjgQzaoqUDmnXdKSOTaAF, birthday=2001-02-08, GPA=0.1}
Student{id=3793, firstName=bDgBezefYeiPJKVivzvkHSTdEDrjFE, lastName=CvDwtGkQJVvRSFoZaVBkyNyLOvqEZj, birthday=1999-12-06, GPA=2.4}
Student{id=8329, firstName=TJnOeCWgBOANQqSwrGFAtavgNPdpmW, lastName=CvkABbXvXfqTkpZyYOzSPOrlyvvouL, birthday=2000-09-10, GPA=6.5}
Student{id=5626, firstName=nGlovQhmkdkfXnwHruunwNbPnjMckD, lastName=CvkcNVKGtuGyvHYwNwLUdbiqpYVvUK, birthday=1999-04-12, GPA=1.4}
Student{id=5545, firstName=wYWIQGXiXnnOqWbCHErVTXvtzSIYkG, lastName=DSONzQuXPXzVlKnKSujwDOsvREOHLo, birthday=2002-08-01, GPA=3.9}
Student{id=7839, firstName=ZfSmeyMbQwiLYXTtEQWdsKzaUeYTWW, lastName=ENCdGntZeVkUIlyJMnJZHVLKoYkbBP, birthday=2001-02-27, GPA=2.7}
Student{id=79, firstName=rVphBTnhdhvMHocNFXRPOvhDqYyNPJ, lastName=ENiiKiIFITtYkKiOivHJalwrRcNasf, birthday=2000-02-20, GPA=7.3}
Student{id=7933, firstName=ZCbjkzbYwWZDMlcSAlvLZeyAyiFPVR, lastName=ETgOzFfdCsyABcUJfqIjtbpJoKRMKc, birthday=1999-03-04, GPA=3.4}
Student{id=470, firstName=BQKeXQvYcfNFYWarrveOPpBPCNOUdP, lastName=FMbTFmdPXfWuRCivWpMRDivBTbVYQi, birthday=2000-09-20, GPA=7.8}
Student{id=9093, firstName=mqyhlGIkqPZpmedambqbTdApmMIuKv, lastName=AXFNZuqekdsXbTsTbSsizPMAoDjbZy, birthday=1999-11-06, GPA=7.4}
Student{id=767, firstName=pLYHFdLYWYfwhSSefnXaBcGrSYlDrq, lastName=AivezTaNgOjgQzaoqUDmnXdKSOTaAF, birthday=2001-02-08, GPA=0.1}
Student{id=3793, firstName=bDgBezefYeiPJKVivzvkHSTdEDrjFE, lastName=CvDwtGkQJVvRSFoZaVBkyNyLOvqEZj, birthday=1999-12-06, GPA=2.4}
Student{id=8329, firstName=TJnOeCWgBOANQqSwrGFAtavgNPdpmW, lastName=CvkABbXvXfqTkpZyYOzSPOrlyvvouL, birthday=2000-09-10, GPA=6.5}
